Time,Open,High,Low,Close,Volume
2015.11.26,0.72493,0.72615,0.72101,0.72219,55525
2015.11.27,0.72216,0.72388,0.71844,0.71886,53221
2015.11.30,0.71916,0.72493,0.71697,0.72254,57068
2015.12.01,0.72252,0.73353,0.72213,0.73201,72223
2015.12.02,0.73201,0.73421,0.72923,0.73065,70857
2015.12.03,0.73063,0.73622,0.72834,0.73373,92837
2015.12.04,0.73407,0.73846,0.72787,0.7336,90547
2015.12.07,0.73391,0.73414,0.72558,0.72655,72365
2015.12.08,0.72663,0.72698,0.7186,0.72116,76852
2015.12.09,0.72121,0.72446,0.71714,0.72263,78237
2015.12.10,0.72269,0.73335,0.72211,0.72794,76005
2015.12.11,0.72794,0.7281,0.71822,0.71822,66937
2015.12.14,0.7202,0.7269,0.7159,0.72399,71543
2015.12.15,0.724,0.72825,0.71598,0.71877,72505
2015.12.16,0.71897,0.72789,0.71759,0.72264,80315
2015.12.17,0.72263,0.72499,0.70965,0.71209,67712
2015.12.18,0.7127,0.71995,0.71111,0.71793,59430
2015.12.21,0.71698,0.71943,0.71542,0.71847,44282
2015.12.22,0.71871,0.7248,0.71805,0.72343,49308
2015.12.23,0.72332,0.72471,0.72084,0.72311,47791
2015.12.24,0.72309,0.72797,0.72256,0.72726,30842
2015.12.28,0.72764,0.72815,0.72443,0.72443,31649
2015.12.29,0.72477,0.73022,0.72434,0.72942,38179
2015.12.30,0.72958,0.73028,0.72706,0.72837,42494
2015.12.31,0.72818,0.73268,0.72659,0.72919,32066
2016.01.04,0.72827,0.72998,0.71553,0.71843,60373
2016.01.05,0.71893,0.72138,0.71315,0.71558,59741
2016.01.06,0.71564,0.71708,0.70478,0.70673,74949
2016.01.07,0.70709,0.70853,0.69797,0.70059,81435
2016.01.08,0.70087,0.70747,0.69621,0.69746,68566
2016.01.11,0.69692,0.70349,0.69262,0.69921,67539
2016.01.12,0.69929,0.70202,0.69392,0.69815,74387
2016.01.13,0.69838,0.70479,0.69496,0.69542,68513
2016.01.14,0.69536,0.69961,0.69093,0.69825,77725
2016.01.15,0.69828,0.70013,0.68264,0.68599,68457
2016.01.18,0.68397,0.69271,0.68304,0.68643,66695
2016.01.19,0.68634,0.69565,0.68376,0.69039,79376
2016.01.20,0.69054,0.69245,0.68324,0.69046,81993
2016.01.21,0.69027,0.70169,0.68748,0.69971,80640
2016.01.22,0.6997,0.70444,0.69858,0.70066,59064
2016.01.25,0.7003,0.70303,0.69494,0.69535,53105
2016.01.26,0.69536,0.70206,0.69182,0.70032,55893
2016.01.27,0.70033,0.70808,0.6992,0.7025,67832
2016.01.28,0.7025,0.71168,0.70075,0.70824,55584
2016.01.29,0.70824,0.71397,0.7058,0.70782,61029
2016.02.01,0.70791,0.71202,0.70419,0.71124,56971
2016.02.02,0.71123,0.71285,0.70341,0.7037,57562
2016.02.03,0.70381,0.71841,0.70022,0.71672,52587
2016.02.04,0.7167,0.72409,0.71526,0.71995,48010
2016.02.05,0.71994,0.72176,0.70638,0.70676,42835
2016.02.08,0.70678,0.71278,0.70501,0.7085,53396
2016.02.09,0.70851,0.70912,0.69729,0.70686,58061
2016.02.10,0.70688,0.71246,0.7037,0.70945,58002
2016.02.11,0.70947,0.71525,0.69886,0.71062,62663
2016.02.12,0.71085,0.71274,0.70623,0.71,55100
2016.02.15,0.71011,0.71709,0.70994,0.71342,54966
2016.02.16,0.71344,0.71811,0.70809,0.71086,57495
2016.02.17,0.71085,0.71859,0.70835,0.71827,62869
2016.02.18,0.71819,0.71834,0.71323,0.71558,58386
2016.02.19,0.71559,0.71612,0.70708,0.71485,51649
2016.02.22,0.71508,0.72462,0.71353,0.72262,53341
2016.02.23,0.72263,0.72584,0.71996,0.72008,61423
2016.02.24,0.7201,0.72126,0.71452,0.71946,62766
2016.02.25,0.71946,0.72427,0.71557,0.72345,60400
2016.02.26,0.72347,0.72558,0.71176,0.71298,56278
2016.02.29,0.71197,0.71672,0.7108,0.71393,65634
2016.03.01,0.71394,0.71914,0.71085,0.71733,65456
2016.03.02,0.71734,0.73003,0.71633,0.72931,68314
2016.03.03,0.72931,0.73733,0.72809,0.73509,64752
2016.03.04,0.7351,0.74424,0.73393,0.7431,63738
2016.03.07,0.74023,0.74838,0.73918,0.74664,56421
2016.03.08,0.74654,0.74717,0.74094,0.74379,60003
2016.03.09,0.7438,0.75272,0.74116,0.74837,72484
2016.03.10,0.74837,0.75028,0.74263,0.74525,76029
2016.03.11,0.74524,0.75828,0.7446,0.75596,65686
2016.03.14,0.75474,0.75929,0.7491,0.75078,62028
2016.03.15,0.75074,0.7527,0.74447,0.74594,61991
2016.03.16,0.7459,0.75754,0.7414,0.75621,59158
2016.03.17,0.75612,0.76563,0.75327,0.76366,63459
2016.03.18,0.76381,0.76794,0.75944,0.76018,33123
2016.03.21,0.75938,0.76258,0.7568,0.75804,37940
2016.03.22,0.758,0.76421,0.75505,0.76148,36284
2016.03.23,0.76142,0.76481,0.75189,0.75349,37833
2016.03.24,0.7534,0.75365,0.74766,0.75249,39949
2016.03.25,0.75245,0.75345,0.74966,0.75024,40883
2016.03.28,0.75094,0.75573,0.74925,0.75424,38242
2016.03.29,0.75423,0.76444,0.75097,0.76264,63399
2016.03.30,0.76264,0.77028,0.76145,0.76693,68084
2016.03.31,0.76693,0.77103,0.76336,0.76563,55663
2016.04.01,0.76564,0.76997,0.76016,0.76813,50095
2016.04.04,0.76697,0.76808,0.75978,0.76022,54205
2016.04.05,0.76016,0.76308,0.75096,0.75418,59149
2016.04.06,0.75411,0.76155,0.75323,0.7597,51464
2016.04.07,0.7597,0.76368,0.74937,0.75042,52115
2016.04.08,0.75042,0.75777,0.74994,0.75527,54013
2016.04.11,0.75444,0.76229,0.75272,0.75946,55281
2016.04.12,0.75946,0.76889,0.75827,0.76818,51470
2016.04.13,0.76819,0.77154,0.76336,0.76516,46986
2016.04.14,0.76516,0.77352,0.76186,0.76938,48831
2016.04.15,0.76937,0.77339,0.768,0.77162,47160
2016.04.18,0.76509,0.77568,0.76308,0.77481,57620
2016.04.19,0.7748,0.78255,0.77456,0.78116,61338
2016.04.20,0.78115,0.78278,0.77662,0.77926,71485
2016.04.21,0.77925,0.7832,0.77321,0.77356,64348
2016.04.22,0.77357,0.77737,0.76932,0.77114,74707
2016.04.25,0.76943,0.7728,0.76905,0.77133,68743
2016.04.26,0.77135,0.7764,0.76994,0.77462,63758
2016.04.27,0.77463,0.77646,0.75596,0.75856,62433
2016.04.28,0.75867,0.76569,0.75687,0.76229,79710
2016.04.29,0.76228,0.76678,0.75892,0.76015,71505
2016.05.02,0.75959,0.76711,0.759,0.76654,81107
2016.05.03,0.76653,0.77179,0.74827,0.74835,75044
2016.05.04,0.74834,0.75134,0.74463,0.7453,60817
2016.05.05,0.7453,0.75131,0.74514,0.74633,52512
2016.05.06,0.74633,0.74775,0.73408,0.73667,55476
2016.05.09,0.73552,0.73844,0.73068,0.73137,50590
2016.05.10,0.73136,0.73726,0.72994,0.73597,50744
2016.05.11,0.73597,0.74016,0.73351,0.73736,52934
2016.05.12,0.73735,0.73786,0.73112,0.73228,50646
2016.05.13,0.73229,0.73241,0.72559,0.7269,48567
2016.05.16,0.7247,0.73048,0.72458,0.72871,49053
2016.05.17,0.72871,0.73657,0.72817,0.7323,57788
2016.05.18,0.73229,0.73298,0.7221,0.72271,57695
2016.05.19,0.72268,0.72412,0.71844,0.72262,55733
2016.05.20,0.72262,0.72488,0.72121,0.72231,45295
2016.05.23,0.72166,0.72593,0.71943,0.72209,47787
2016.05.24,0.72209,0.72275,0.71444,0.71817,50400
2016.05.25,0.71817,0.72183,0.71729,0.7197,47650
2016.05.26,0.71969,0.72429,0.71609,0.72243,48155
2016.05.27,0.72223,0.72341,0.71715,0.71828,43915
2016.05.30,0.71771,0.71866,0.71479,0.71795,39827
2016.05.31,0.71789,0.72663,0.71771,0.72303,55272
2016.06.01,0.72301,0.72984,0.72267,0.72547,59203
2016.06.02,0.72533,0.72687,0.7201,0.72279,65087
2016.06.03,0.72279,0.73669,0.72176,0.73663,57268
2016.06.06,0.73675,0.73795,0.73147,0.7365,67255
2016.06.07,0.73633,0.7463,0.7359,0.74571,62553
2016.06.08,0.74565,0.74812,0.74297,0.74703,62509
2016.06.09,0.74704,0.75036,0.74197,0.74301,69979
2016.06.10,0.74302,0.7437,0.73698,0.73757,60454
2016.06.13,0.73733,0.74098,0.73586,0.73861,64076
2016.06.14,0.73859,0.74038,0.733,0.73569,64080
2016.06.15,0.7357,0.74421,0.73332,0.74066,72165
2016.06.16,0.74063,0.74402,0.72888,0.73613,77666
2016.06.17,0.73614,0.741,0.73578,0.73957,69671
2016.06.20,0.74316,0.74803,0.74054,0.74541,60615
2016.06.21,0.7454,0.7512,0.74475,0.74475,54897
2016.06.22,0.74472,0.75223,0.74408,0.74994,57164
2016.06.23,0.74993,0.76158,0.74929,0.76124,60959
2016.06.24,0.76135,0.76438,0.73055,0.74695,83776
2016.06.27,0.74133,0.74481,0.7324,0.73277,88036
2016.06.28,0.73267,0.74144,0.73212,0.73856,75058
2016.06.29,0.73856,0.74556,0.73802,0.74496,71529
2016.06.30,0.74494,0.74719,0.73781,0.745,74896
2016.07.01,0.74499,0.75023,0.74365,0.74929,62211
2016.07.04,0.74457,0.75439,0.74431,0.75372,57110
2016.07.05,0.75365,0.75437,0.7453,0.74615,68100
2016.07.06,0.74614,0.75266,0.74072,0.75169,78987
2016.07.07,0.75169,0.75378,0.74662,0.74773,79295
2016.07.08,0.74774,0.75698,0.74751,0.75634,59882
2016.07.11,0.75633,0.75748,0.75211,0.75306,54715
2016.07.12,0.75308,0.76572,0.75295,0.76217,55761
2016.07.13,0.76217,0.76374,0.75769,0.7607,62154
2016.07.14,0.76072,0.7652,0.75905,0.76304,56791
2016.07.15,0.76302,0.76753,0.75795,0.75968,59516
2016.07.18,0.75929,0.76057,0.75744,0.75893,55264
2016.07.19,0.75903,0.75912,0.74752,0.75029,65396
2016.07.20,0.75031,0.75163,0.74621,0.74748,62170
2016.07.21,0.74749,0.75131,0.74525,0.7492,70399
2016.07.22,0.74934,0.75069,0.74421,0.74655,54929
2016.07.25,0.74581,0.74913,0.74512,0.74686,61653
2016.07.26,0.74685,0.75393,0.74619,0.75003,69730
2016.07.27,0.75008,0.75645,0.74197,0.74902,83146
2016.07.28,0.749,0.75484,0.74856,0.75001,69625
2016.07.29,0.75001,0.76069,0.74922,0.75982,71354
2016.08.01,0.75915,0.76143,0.75279,0.75346,66859
2016.08.02,0.75344,0.76314,0.74866,0.76079,74294
2016.08.03,0.76077,0.76132,0.75701,0.75871,66196
2016.08.04,0.75872,0.76395,0.75827,0.7627,68206
2016.08.05,0.76269,0.76633,0.75966,0.76207,70068
2016.08.08,0.76123,0.76699,0.75964,0.76494,73049
2016.08.09,0.76494,0.76859,0.76208,0.76712,72726
2016.08.10,0.76711,0.77548,0.76608,0.76978,68005
2016.08.11,0.76977,0.77589,0.76906,0.76979,60032
2016.08.12,0.76972,0.77235,0.76452,0.76501,56582
2016.08.15,0.76528,0.76907,0.76355,0.76718,56054
2016.08.16,0.76719,0.77379,0.76529,0.76935,66470
2016.08.17,0.76935,0.77069,0.76081,0.76532,78071
2016.08.18,0.7653,0.77178,0.76484,0.76844,81377
2016.08.19,0.76844,0.76898,0.75982,0.76252,65054
2016.08.22,0.75995,0.76361,0.75827,0.76245,64887
2016.08.23,0.76244,0.76541,0.76125,0.76132,65166
2016.08.24,0.76131,0.76329,0.75876,0.76119,63173
2016.08.25,0.76117,0.76381,0.7601,0.7616,54519
2016.08.26,0.76157,0.76912,0.75501,0.7561,58727
2016.08.29,0.75589,0.75805,0.75238,0.75666,69635
2016.08.30,0.7567,0.75789,0.74993,0.75075,63503
2016.08.31,0.75074,0.75323,0.74942,0.75157,70463
2016.09.01,0.75156,0.75579,0.75036,0.75504,71687
2016.09.02,0.75504,0.76148,0.75363,0.75703,60188
2016.09.05,0.75687,0.76054,0.75619,0.75799,68387
2016.09.06,0.7579,0.76874,0.75781,0.76858,70536
2016.09.07,0.76859,0.76951,0.76516,0.76707,68653
2016.09.08,0.76696,0.77308,0.76355,0.76412,63042
2016.09.09,0.76413,0.7656,0.75352,0.7536,68306
2016.09.12,0.75369,0.7566,0.74949,0.75646,81405
2016.09.13,0.75645,0.7567,0.74433,0.74616,79240
2016.09.14,0.74617,0.74935,0.745,0.74655,74782
2016.09.15,0.74654,0.75196,0.74451,0.75136,78192
2016.09.16,0.75137,0.75257,0.74761,0.74914,66281
2016.09.19,0.74763,0.75718,0.74763,0.75326,60656
2016.09.20,0.75327,0.7564,0.75294,0.75537,57288
2016.09.21,0.75534,0.76284,0.75334,0.76215,53065
2016.09.22,0.76213,0.76727,0.76052,0.76395,60086
2016.09.23,0.76395,0.76523,0.76103,0.76203,52567
2016.09.26,0.76114,0.76484,0.7602,0.76337,80686
2016.09.27,0.76344,0.76946,0.76105,0.76656,80638
2016.09.28,0.76654,0.76923,0.76438,0.76909,84351
2016.09.29,0.76904,0.77091,0.76223,0.76337,95405
2016.09.30,0.76338,0.76705,0.75889,0.76556,86339
2016.10.03,0.76524,0.76804,0.76393,0.76709,67752
2016.10.04,0.76709,0.76897,0.76071,0.76179,80336
2016.10.05,0.76179,0.76437,0.75938,0.76196,76265
2016.10.06,0.76195,0.7622,0.75628,0.75834,63965
2016.10.07,0.75834,0.76211,0.75523,0.75854,85316
2016.10.10,0.76051,0.76274,0.75792,0.76055,76830
2016.10.11,0.76056,0.76084,0.75323,0.7537,100194
2016.10.12,0.75377,0.75915,0.75327,0.75605,90207
2016.10.13,0.75598,0.75808,0.75053,0.75673,107642
2016.10.14,0.75673,0.76464,0.75552,0.76195,92442
2016.10.17,0.76179,0.76279,0.758,0.76273,82473
2016.10.18,0.76266,0.76885,0.76237,0.76633,77038
2016.10.19,0.76634,0.77284,0.76582,0.77195,73655
2016.10.20,0.77197,0.77338,0.76204,0.76248,74694
2016.10.21,0.76242,0.76499,0.75862,0.76049,69851
2016.10.24,0.76063,0.76397,0.75902,0.76093,40750
2016.10.25,0.76094,0.76539,0.75881,0.76446,73876
2016.10.26,0.76447,0.77078,0.76265,0.7649,87121
2016.10.27,0.76488,0.76512,0.75808,0.75866,90781
2016.10.28,0.75866,0.76069,0.75572,0.75959,92860
2016.10.31,0.75943,0.76181,0.75819,0.76052,85943
2016.11.01,0.76052,0.76881,0.75971,0.76544,93663
2016.11.02,0.7654,0.76772,0.76116,0.76559,88706
2016.11.03,0.76559,0.76869,0.7636,0.76797,85352
2016.11.04,0.7679,0.76959,0.76513,0.76729,105194
2016.11.07,0.76762,0.77285,0.76562,0.77254,110346
2016.11.08,0.77254,0.77772,0.76881,0.77595,108938
2016.11.09,0.77595,0.77689,0.75898,0.76344,114198
2016.11.10,0.76343,0.77411,0.75733,0.76122,107975
2016.11.11,0.76121,0.76286,0.75243,0.75393,118024
2016.11.14,0.75435,0.7563,0.75228,0.75527,119436
2016.11.15,0.75525,0.75801,0.75109,0.75575,108562
2016.11.16,0.75574,0.75701,0.74594,0.74775,99502
2016.11.17,0.74775,0.75007,0.74002,0.74054,92168
2016.11.18,0.74052,0.74167,0.73166,0.73166,97769
2016.11.21,0.73301,0.73802,0.73122,0.73675,90997
2016.11.22,0.7367,0.74125,0.73622,0.73998,86579
2016.11.23,0.73998,0.74441,0.73749,0.73846,79391
2016.11.24,0.73847,0.74173,0.73635,0.74054,79826
2016.11.25,0.74054,0.74674,0.74018,0.74243,75289
2016.11.28,0.74402,0.74927,0.74321,0.74795,84489
2016.11.29,0.74796,0.74963,0.74318,0.74825,84761
2016.11.30,0.74826,0.74963,0.73737,0.73822,82248
2016.12.01,0.73822,0.74205,0.73691,0.7413,76592
2016.12.02,0.74132,0.74668,0.74,0.74489,77089
2016.12.05,0.74484,0.74937,0.74109,0.74701,90685
2016.12.06,0.74705,0.74819,0.74304,0.74598,94353
2016.12.07,0.74599,0.74823,0.74155,0.74809,93264
2016.12.08,0.74809,0.75069,0.74279,0.74627,98356
2016.12.09,0.74625,0.74953,0.74278,0.74278,97549
2016.12.12,0.74441,0.75034,0.74287,0.74947,95142
2016.12.13,0.74945,0.75209,0.7475,0.74979,93797
2016.12.14,0.74981,0.7524,0.73943,0.74039,97733
2016.12.15,0.74049,0.74299,0.73374,0.73571,104282
2016.12.16,0.73571,0.73685,0.72722,0.72839,87744
2016.12.19,0.72819,0.73121,0.72415,0.72433,87955
2016.12.20,0.72432,0.72616,0.72221,0.72587,83820
2016.12.21,0.72586,0.72788,0.7234,0.72372,78459
2016.12.22,0.72375,0.72569,0.71965,0.7216,81738
2016.12.23,0.72162,0.72266,0.71558,0.71558,75007
2016.12.26,0.71645,0.7226,0.71589,0.71878,13722
2016.12.27,0.71876,0.71963,0.71718,0.71827,74129
2016.12.28,0.71826,0.7219,0.71628,0.71738,105440
2016.12.29,0.71741,0.72227,0.71624,0.72159,112022
2016.12.30,0.72153,0.72458,0.718,0.718,139741
2017.01.02,0.72064,0.72175,0.71634,0.71738,44111
2017.01.03,0.71805,0.72403,0.71736,0.72167,101798
2017.01.04,0.72163,0.72863,0.72134,0.72814,127324
2017.01.05,0.72816,0.73559,0.72719,0.73324,161462
2017.01.06,0.73342,0.73544,0.72878,0.72956,136893
2017.01.09,0.72928,0.73731,0.72861,0.7353,110420
2017.01.10,0.73532,0.73839,0.73303,0.73666,125971
2017.01.11,0.73667,0.74709,0.73527,0.74397,143117
2017.01.12,0.74397,0.75178,0.7429,0.74823,141853
2017.01.13,0.7482,0.75077,0.74486,0.74808,131993
2017.01.16,0.74799,0.75046,0.74574,0.74763,101683
2017.01.17,0.74763,0.75677,0.7464,0.7566,130641
2017.01.18,0.75661,0.75661,0.75019,0.75039,112022
2017.01.19,0.75038,0.75732,0.74926,0.75585,128257
2017.01.20,0.75585,0.75877,0.75168,0.75359,132184
2017.01.23,0.75573,0.75885,0.75494,0.75796,95806
2017.01.24,0.75795,0.76082,0.75527,0.75796,84769
2017.01.25,0.75793,0.75974,0.75143,0.75718,101553
2017.01.26,0.75719,0.75842,0.75234,0.75316,91955
2017.01.27,0.75318,0.75709,0.75107,0.75443,110340
2017.01.30,0.75528,0.75661,0.75272,0.75525,86877
2017.01.31,0.75527,0.76047,0.75414,0.75826,94750
2017.02.01,0.75828,0.75959,0.75506,0.75825,99436
2017.02.02,0.75825,0.76951,0.75765,0.76548,106983
2017.02.03,0.76548,0.76941,0.76189,0.76619,103792
2017.02.06,0.7676,0.76822,0.76287,0.76581,93380
2017.02.07,0.76582,0.76803,0.7605,0.76255,94111
2017.02.08,0.76256,0.7665,0.76106,0.76435,84786
2017.02.09,0.7644,0.76633,0.76097,0.76231,77894
2017.02.10,0.76232,0.7688,0.76171,0.76659,81089
2017.02.13,0.76784,0.76797,0.76301,0.76381,68160
2017.02.14,0.76381,0.76955,0.76195,0.76623,75111
2017.02.15,0.76623,0.77187,0.76365,0.77083,70457
2017.02.16,0.77085,0.77312,0.76837,0.76936,85276
2017.02.17,0.76933,0.7712,0.76452,0.76452,71422
2017.02.20,0.76718,0.76895,0.76584,0.76871,58552
2017.02.21,0.76868,0.76896,0.76489,0.76738,71106
2017.02.22,0.76733,0.77125,0.76662,0.77006,71837
2017.02.23,0.77005,0.774,0.76645,0.77141,71304
2017.02.24,0.77139,0.77195,0.76634,0.76634,64789
2017.02.27,0.76794,0.7707,0.7662,0.76717,67577
2017.02.28,0.76713,0.76939,0.76458,0.7655,69531
2017.03.01,0.76549,0.7699,0.76359,0.76745,93806
2017.03.02,0.76746,0.76812,0.75567,0.75709,86488
2017.03.03,0.75709,0.75971,0.75421,0.75769,84859
2017.03.06,0.75857,0.76086,0.75695,0.75788,77116
2017.03.07,0.75789,0.76317,0.75739,0.75854,80233
2017.03.08,0.75855,0.7608,0.75246,0.75258,79368
2017.03.09,0.75259,0.75334,0.74902,0.75039,84782
2017.03.10,0.75036,0.75537,0.74972,0.75404,79632
2017.03.13,0.7546,0.75915,0.7533,0.75697,75354
2017.03.14,0.75697,0.75786,0.75394,0.75585,67072
2017.03.15,0.75583,0.77184,0.75541,0.77036,72716
2017.03.16,0.77034,0.7716,0.76628,0.7679,85045
2017.03.17,0.76789,0.77169,0.76625,0.76974,64984
2017.03.20,0.76983,0.7747,0.76964,0.77286,83104
2017.03.21,0.77286,0.77487,0.76819,0.76846,86224
2017.03.22,0.76847,0.76884,0.76383,0.76737,86587
2017.03.23,0.76736,0.76761,0.76215,0.76252,84771
2017.03.24,0.7625,0.76397,0.76031,0.76215,81237
2017.03.27,0.76351,0.76473,0.76081,0.7616,79019
2017.03.28,0.76158,0.76536,0.75866,0.76325,75862
2017.03.29,0.76324,0.76742,0.76289,0.76678,70335
2017.03.30,0.76677,0.76787,0.76386,0.76397,77641
2017.03.31,0.76394,0.7662,0.76216,0.76265,79231
2017.04.03,0.76303,0.76394,0.75904,0.76033,62713
2017.04.04,0.76017,0.76146,0.75447,0.75632,62686
2017.04.05,0.75632,0.7587,0.75574,0.75683,58104
2017.04.06,0.75683,0.75763,0.75319,0.75435,63346
2017.04.07,0.75429,0.75455,0.74937,0.7497,66032
2017.04.10,0.7491,0.75084,0.74756,0.74995,60994
2017.04.11,0.74996,0.75144,0.74736,0.7497,64322
2017.04.12,0.74956,0.75282,0.74727,0.75218,66871
2017.04.13,0.75189,0.7595,0.75176,0.75679,68860
2017.04.14,0.75613,0.7582,0.75563,0.75733,51953
2017.04.17,0.75751,0.76102,0.75683,0.75879,42283
2017.04.18,0.75879,0.75958,0.75335,0.75585,63293
2017.04.19,0.75571,0.75621,0.74911,0.74958,56537
2017.04.20,0.74962,0.75466,0.74885,0.75254,56532
2017.04.21,0.75258,0.75454,0.75151,0.75267,53489
2017.04.24,0.75841,0.75843,0.75267,0.75678,57278
2017.04.25,0.75677,0.75715,0.752,0.75334,53635
2017.04.26,0.75338,0.75533,0.74546,0.74723,67124
2017.04.27,0.74721,0.7492,0.74396,0.74637,60103
2017.04.28,0.74638,0.74905,0.74475,0.74603,56246
2017.05.01,0.74683,0.754,0.74603,0.75241,40179
2017.05.02,0.75242,0.75557,0.751,0.75344,49006
2017.05.03,0.75355,0.75457,0.7419,0.74219,54728
2017.05.04,0.74185,0.74297,0.73825,0.7408,59841
2017.05.05,0.7408,0.74261,0.73672,0.7411,63046
2017.05.08,0.741,0.74241,0.7377,0.73851,56764
2017.05.09,0.73849,0.73974,0.73281,0.73426,68274
2017.05.10,0.73426,0.73938,0.73378,0.73631,69424
2017.05.11,0.7363,0.7382,0.73323,0.73773,69754
2017.05.12,0.73771,0.74201,0.73664,0.73835,63462
2017.05.15,0.739,0.74449,0.73839,0.74109,62719
2017.05.16,0.74103,0.74371,0.73943,0.74247,64578
2017.05.17,0.74246,0.74427,0.73899,0.74292,68853
2017.05.18,0.74291,0.74658,0.74075,0.74163,83006
